Country,Year,Highest_Unemployment_Percentage
Australia,2020,6.455600262
Austria,2021,6.181400299
Belgium,2016,7.925203323
Canada,2020,9.535629272
Czech Republic,2016,3.947150469
Denmark,2016,6.146676064
Estonia,2020,6.805762768
Finland,2016,8.920261383
France,2016,10.10715103
Germany,2016,3.930286407
Greece,2016,23.53927231
Hungary,2024,5.187944889
Iceland,2020,6.430072784
Ireland,2016,8.351163864
Israel,2021,4.941248894
Italy,2016,11.67595387
Japan,2016,3.115680695
Korea,2020,3.943595648
Luxembourg,2020,6.363129139
Mexico,2020,4.406568527
Netherlands,2016,7.008310318
New Zealand,2016,5.148533821
Norway,2016,4.906166077
OECD - Total,2020,7.15559864
Poland,2016,6.258006573
Portugal,2016,11.45170116
Slovak Republic,2016,9.645139694
Slovenia,2016,8.017089844
Spain,2016,19.6347065
Sweden,2021,8.801312447
Switzerland,2021,5.088624954
Türkiye,2019,13.71470356
United Kingdom,2016,4.89337635
United States,2020,8.055015564
