LOCATION,Country,Year,Total Employed People
AUS,Australia,2016,11973086.55
AUS,Australia,2017,12252011.39
AUS,Australia,2018,12584064.43
AUS,Australia,2019,12875075.02
AUS,Australia,2020,12675395.24
AUS,Australia,2021,13065035.64
AUS,Australia,2022,13568067.51
AUS,Australia,2023,13791165.25
AUS,Australia,2024,13884508.51
AUT,Austria,2016,4220175
AUT,Austria,2017,4260100
AUT,Austria,2018,4319025
AUT,Austria,2019,4354650
AUT,Austria,2020,4296825
AUT,Austria,2021,4305875
AUT,Austria,2022,4418555.347
AUT,Austria,2023,4457306.969
AUT,Austria,2024,4501815.197
BEL,Belgium,2016,4756200
BEL,Belgium,2017,4830225
BEL,Belgium,2018,4900950
BEL,Belgium,2019,4978850
BEL,Belgium,2020,4980725
BEL,Belgium,2021,5071000
BEL,Belgium,2022,5172496.387
BEL,Belgium,2023,5195433.823
BEL,Belgium,2024,5224730.077
CAN,Canada,2016,17915825
CAN,Canada,2017,18284666.67
CAN,Canada,2018,18569466.67
CAN,Canada,2019,18978483.33
CAN,Canada,2020,18004400
CAN,Canada,2021,18871841.67
CAN,Canada,2022,19563182.73
CAN,Canada,2023,19686755.21
CAN,Canada,2024,19789776.96
CZE,Czech Republic,2016,5138654.424
CZE,Czech Republic,2017,5221114.664
CZE,Czech Republic,2018,5294935.222
CZE,Czech Republic,2019,5306360.037
CZE,Czech Republic,2020,5238972.641
CZE,Czech Republic,2021,5206151.97
CZE,Czech Republic,2022,5173894.63
CZE,Czech Republic,2023,5160596.411
CZE,Czech Republic,2024,5159948.352
DNK,Denmark,2016,2668250
DNK,Denmark,2017,2699250
DNK,Denmark,2018,2740250
DNK,Denmark,2019,2780250
DNK,Denmark,2020,2754250
DNK,Denmark,2021,2797250
DNK,Denmark,2022,2861227.968
DNK,Denmark,2023,2838058.092
DNK,Denmark,2024,2842156.309
FIN,Finland,2016,2413916.667
FIN,Finland,2017,2438750
FIN,Finland,2018,2507083.333
FIN,Finland,2019,2533750
FIN,Finland,2020,2495250
FIN,Finland,2021,2552166.667
FIN,Finland,2022,2611025.918
FIN,Finland,2023,2594364.363
FIN,Finland,2024,2599700.664
FRA,France,2016,26579675
FRA,France,2017,26803000
FRA,France,2018,27021375
FRA,France,2019,27132175
FRA,France,2020,26995300
FRA,France,2021,27727600
FRA,France,2022,28395229.06
FRA,France,2023,28434599.81
FRA,France,2024,28358099.18
DEU,Germany,2016,40515000
DEU,Germany,2017,40937500
DEU,Germany,2018,41205833.33
DEU,Germany,2019,41585000
DEU,Germany,2020,41202500
DEU,Germany,2021,41374166.67
DEU,Germany,2022,42409684.58
DEU,Germany,2023,42521179.5
DEU,Germany,2024,42723507.55
GRC,Greece,2016,3673560.902
GRC,Greece,2017,3752675
GRC,Greece,2018,3828025
GRC,Greece,2019,3911025
GRC,Greece,2020,3875475
GRC,Greece,2021,3928000
GRC,Greece,2022,4161965.988
GRC,Greece,2023,4219422.205
GRC,Greece,2024,4252318.474
HUN,Hungary,2016,4481425
HUN,Hungary,2017,4551550
HUN,Hungary,2018,4607775
HUN,Hungary,2019,4642525
HUN,Hungary,2020,4601300
HUN,Hungary,2021,4635275
HUN,Hungary,2022,4698030.937
HUN,Hungary,2023,4652899.963
HUN,Hungary,2024,4646698.243
ISL,Iceland,2016,187825
ISL,Iceland,2017,189700
ISL,Iceland,2018,193150
ISL,Iceland,2019,194975
ISL,Iceland,2020,189175
ISL,Iceland,2021,195925
ISL,Iceland,2022,207489.441
ISL,Iceland,2023,208744.6714
ISL,Iceland,2024,210944.9203
