LOCATION,Country,Year,Unemployment Percentage
AUS,Australia,2016,5.709901434
AUS,Australia,2017,5.591125763
AUS,Australia,2018,5.29828905
AUS,Australia,2019,5.157718789
AUS,Australia,2020,6.455600304
AUS,Australia,2021,5.116018642
AUS,Australia,2022,3.676206348
AUS,Australia,2023,3.519047372
AUS,Australia,2024,4.022949471
AUT,Austria,2016,6.013651953
AUT,Austria,2017,5.499636759
AUT,Austria,2018,4.847904033
AUT,Austria,2019,4.486532725
AUT,Austria,2020,5.36253111
AUT,Austria,2021,6.181400239
AUT,Austria,2022,4.919772175
AUT,Austria,2023,5.118087165
AUT,Austria,2024,5.193756123
BEL,Belgium,2016,7.925203304
BEL,Belgium,2017,7.167174421
BEL,Belgium,2018,6.033441079
BEL,Belgium,2019,5.458126025
BEL,Belgium,2020,5.752577084
BEL,Belgium,2021,6.257206328
BEL,Belgium,2022,5.785692067
BEL,Belgium,2023,6.457196274
BEL,Belgium,2024,6.152592697
CAN,Canada,2016,7.049884131
CAN,Canada,2017,6.385821857
CAN,Canada,2018,5.907390181
CAN,Canada,2019,5.745060905
CAN,Canada,2020,9.535629227
CAN,Canada,2021,7.430771973
CAN,Canada,2022,5.409911376
CAN,Canada,2023,5.651689889
CAN,Canada,2024,6.020742074
CZE,Czech Republic,2016,3.947150498
CZE,Czech Republic,2017,2.890311136
CZE,Czech Republic,2018,2.242408677
CZE,Czech Republic,2019,2.001436426
CZE,Czech Republic,2020,2.540593769
CZE,Czech Republic,2021,2.820375969
CZE,Czech Republic,2022,2.309701955
CZE,Czech Republic,2023,2.603948182
CZE,Czech Republic,2024,2.82043112
DNK,Denmark,2016,6.146676046
DNK,Denmark,2017,5.982236155
DNK,Denmark,2018,5.263612792
DNK,Denmark,2019,5.127111414
DNK,Denmark,2020,5.773178242
DNK,Denmark,2021,5.153852674
DNK,Denmark,2022,4.482266587
DNK,Denmark,2023,5.716187771
DNK,Denmark,2024,5.59183649
FIN,Finland,2016,8.920261602
FIN,Finland,2017,8.740800798
FIN,Finland,2018,7.405127574
FIN,Finland,2019,6.741710886
FIN,Finland,2020,7.762683671
FIN,Finland,2021,7.636166234
FIN,Finland,2022,6.978212014
FIN,Finland,2023,7.890563649
FIN,Finland,2024,7.81051524
FRA,France,2016,10.10715068
FRA,France,2017,9.476848256
FRA,France,2018,9.097369694
FRA,France,2019,8.5201291
FRA,France,2020,8.13566301
FRA,France,2021,7.912627324
FRA,France,2022,7.383339061
FRA,France,2023,7.733665824
FRA,France,2024,8.053866885
DEU,Germany,2016,3.930286324
DEU,Germany,2017,3.545973965
DEU,Germany,2018,3.2139991
DEU,Germany,2019,2.993662766
DEU,Germany,2020,3.672459476
DEU,Germany,2021,3.575451544
DEU,Germany,2022,3.069670859
DEU,Germany,2023,3.542073902
DEU,Germany,2024,3.481829758
GRC,Greece,2016,23.53927201
GRC,Greece,2017,21.48763789
GRC,Greece,2018,19.29191132
GRC,Greece,2019,17.31273388
GRC,Greece,2020,16.30457083
GRC,Greece,2021,14.71391272
GRC,Greece,2022,12.61515916
GRC,Greece,2023,11.83338437
GRC,Greece,2024,11.32567421
HUN,Hungary,2016,4.958406015
HUN,Hungary,2017,4.0309105
HUN,Hungary,2018,3.594461851
HUN,Hungary,2019,3.321012078
HUN,Hungary,2020,4.1315943
HUN,Hungary,2021,4.04101046
HUN,Hungary,2022,3.502838602
HUN,Hungary,2023,4.717236682
HUN,Hungary,2024,5.187944912
ISL,Iceland,2016,3.344911874
ISL,Iceland,2017,3.275971957
ISL,Iceland,2018,3.122257053
ISL,Iceland,2019,3.929539295
ISL,Iceland,2020,6.430072957
ISL,Iceland,2021,5.986084452
ISL,Iceland,2022,3.978996029
ISL,Iceland,2023,4.359155285
ISL,Iceland,2024,4.466367978
IRL,Ireland,2016,8.351163916
IRL,Ireland,2017,6.716187598
IRL,Ireland,2018,5.76207012
IRL,Ireland,2019,4.95245317
IRL,Ireland,2020,5.802251089
IRL,Ireland,2021,6.189129752
IRL,Ireland,2022,4.687610405
IRL,Ireland,2023,5.255803643
IRL,Ireland,2024,5.134046544
ITA,Italy,2016,11.67595364
ITA,Italy,2017,11.26919104
ITA,Italy,2018,10.58418757
ITA,Italy,2019,9.869667167
ITA,Italy,2020,9.331051528
ITA,Italy,2021,9.48193815
ITA,Italy,2022,8.123754773
ITA,Italy,2023,8.294679203
ITA,Italy,2024,8.466333427
JPN,Japan,2016,3.115680721
JPN,Japan,2017,2.818487894
JPN,Japan,2018,2.440715911
